id,match_id,city,match_date,season,match_number,team1,team2,toss_winner,toss_decision,superover,result,winning_team,won_by,margin,winner_runs,winner_wickets,player_of_match,venue,umpire1,umpire2
310,1359530,Kolkata,11-05-2023,2023,56,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,N,normal,Rajasthan Royals,Wickets,9,0,9,YBK Jaiswal,"Eden Gardens, Kolkata",RJ Tucker,MV Saidharshan Kumar
311,1359531,Mumbai,12-05-2023,2023,57,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,N,normal,Mumbai Indians,Runs,27,27,0,SA Yadav,"Wankhede Stadium, Mumbai",Nitin Menon,Tapan Sharma
312,1359533,Delhi,13-05-2023,2023,59,Punjab Kings,Delhi Capitals,Delhi Capitals,field,N,normal,Punjab Kings,Runs,31,31,0,P Simran Singh,"Arun Jaitley Stadium, Delhi",CB Gaffaney,NA Patwardhan
313,1359532,Hyderabad,13-05-2023,2023,58,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,N,normal,Lucknow Super Giants,Wickets,7,0,7,PN Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",A Totre,J Madanagopal
314,1359534,Jaipur,14-05-2023,2023,60,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,N,normal,Royal Challengers Bangalore,Runs,112,112,0,WD Parnell,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh
315,1359535,Chennai,14-05-2023,2023,61,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,N,normal,Kolkata Knight Riders,Wickets,6,0,6,RK Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan
316,1359536,Ahmedabad,15-05-2023,2023,62,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,N,normal,Gujarat Titans,Runs,34,34,0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",J Madanagopal,UV Gandhe
317,1359537,Lucknow,16-05-2023,2023,63,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,N,normal,Lucknow Super Giants,Runs,5,5,0,MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",AK Chaudhary,A Nand Kishore
318,1359538,Dharamsala,17-05-2023,2023,64,Delhi Capitals,Punjab Kings,Punjab Kings,field,N,normal,Delhi Capitals,Runs,15,15,0,RR Rossouw,"Himachal Pradesh Cricket Association Stadium, Dharamsala",KN Ananthapadmanabhan,MV Saidharshan Kumar
319,1359539,Hyderabad,18-05-2023,2023,65,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,N,normal,Royal Challengers Bangalore,Wickets,8,0,8,V Kohli,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",BNJ Oxenford,VK Sharma
